#           k/h    P           
    0.19930E+01    0.14379E+02
    0.20333E+01    0.13697E+02
    0.20744E+01    0.13046E+02
    0.21163E+01    0.12426E+02
    0.21590E+01    0.11835E+02
    0.22026E+01    0.11271E+02
    0.22471E+01    0.10733E+02
    0.22925E+01    0.10220E+02
    0.23388E+01    0.97314E+01
    0.23861E+01    0.92654E+01
    0.24343E+01    0.88212E+01
    0.24835E+01    0.83978E+01
    0.25336E+01    0.79942E+01
    0.25848E+01    0.76096E+01
    0.26370E+01    0.72431E+01
    0.26903E+01    0.68939E+01
    0.27447E+01    0.65611E+01
    0.28001E+01    0.62441E+01
    0.28567E+01    0.59420E+01
    0.29144E+01    0.56543E+01
    0.29733E+01    0.53802E+01
    0.30333E+01    0.51191E+01
    0.30946E+01    0.48704E+01
    0.31571E+01    0.46336E+01
    0.32209E+01    0.44080E+01
    0.32860E+01    0.41932E+01
    0.33523E+01    0.39887E+01
    0.34201E+01    0.37939E+01
    0.34892E+01    0.36085E+01
    0.35596E+01    0.34320E+01
    0.36316E+01    0.32639E+01
    0.37049E+01    0.31039E+01
    0.37798E+01    0.29517E+01
    0.38561E+01    0.28067E+01
    0.39340E+01    0.26687E+01
    0.40135E+01    0.25374E+01
    0.40946E+01    0.24125E+01
    0.41773E+01    0.22936E+01
    0.42617E+01    0.21804E+01
    0.43478E+01    0.20728E+01
    0.44356E+01    0.19703E+01
    0.45252E+01    0.18729E+01
    0.46166E+01    0.17801E+01
    0.47099E+01    0.16919E+01
    0.48050E+01    0.16080E+01
    0.49021E+01    0.15282E+01
    0.50011E+01    0.14523E+01
    0.51021E+01    0.13801E+01
    0.52052E+01    0.13114E+01
    0.53104E+01    0.12461E+01
    0.54176E+01    0.11840E+01
    0.55271E+01    0.11249E+01
    0.56387E+01    0.10688E+01
    0.57526E+01    0.10154E+01
    0.58689E+01    0.96462E+00
    0.59874E+01    0.91635E+00
    0.61084E+01    0.87046E+00
    0.62318E+01    0.82684E+00
    0.63577E+01    0.78537E+00
    0.64861E+01    0.74595E+00
    0.66171E+01    0.70849E+00
    0.67508E+01    0.67287E+00
    0.68872E+01    0.63903E+00
    0.70263E+01    0.60686E+00
    0.71682E+01    0.57629E+00
    0.73130E+01    0.54724E+00
    0.74608E+01    0.51963E+00
    0.76115E+01    0.49340E+00
    0.77653E+01    0.46847E+00
    0.79221E+01    0.44479E+00
    0.80822E+01    0.42229E+00
    0.82454E+01    0.40091E+00
    0.84120E+01    0.38060E+00
    0.85819E+01    0.36131E+00
    0.87553E+01    0.34298E+00
    0.89322E+01    0.32557E+00
    0.91126E+01    0.30904E+00
    0.92967E+01    0.29333E+00
    0.94845E+01    0.27841E+00
    0.96761E+01    0.26424E+00
    0.98716E+01    0.25079E+00
    0.10071E+02    0.23801E+00
    0.10274E+02    0.22587E+00
    0.10482E+02    0.21435E+00
    0.10694E+02    0.20341E+00
    0.10910E+02    0.19302E+00
    0.11130E+02    0.18315E+00
    0.11355E+02    0.17378E+00
    0.11584E+02    0.16489E+00
    0.11818E+02    0.15645E+00
    0.12057E+02    0.14843E+00
    0.12301E+02    0.14082E+00
    0.12549E+02    0.13360E+00
    0.12803E+02    0.12674E+00
    0.13061E+02    0.12023E+00
    0.13325E+02    0.11405E+00
    0.13594E+02    0.10819E+00
    0.13869E+02    0.10262E+00
    0.14149E+02    0.97340E-01
    0.14435E+02    0.92327E-01
    0.14727E+02    0.87569E-01
    0.15024E+02    0.83053E-01
    0.15328E+02    0.78768E-01
    0.15637E+02    0.74702E-01
    0.15953E+02    0.70844E-01
    0.16275E+02    0.67183E-01
    0.16604E+02    0.63709E-01
    0.16940E+02    0.60414E-01
    0.17282E+02    0.57287E-01
    0.17631E+02    0.54320E-01
    0.17987E+02    0.51506E-01
    0.18351E+02    0.48836E-01
    0.18721E+02    0.46303E-01
    0.19099E+02    0.43901E-01
    0.19485E+02    0.41622E-01
    0.19879E+02    0.39460E-01
    0.20280E+02    0.37409E-01
    0.20690E+02    0.35464E-01
    0.21108E+02    0.33619E-01
    0.21535E+02    0.31869E-01
    0.21970E+02    0.30209E-01
    0.22413E+02    0.28634E-01
    0.22866E+02    0.27141E-01
    0.23328E+02    0.25724E-01
    0.23799E+02    0.24381E-01
    0.24280E+02    0.23107E-01
    0.24771E+02    0.21899E-01
    0.25271E+02    0.20754E-01
    0.25782E+02    0.19669E-01
    0.26302E+02    0.18639E-01
    0.26834E+02    0.17664E-01
    0.27376E+02    0.16739E-01
    0.27929E+02    0.15863E-01
    0.28493E+02    0.15032E-01
