#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.264776E-01   0.973872E+07   0.969706E+07  -0.239103E+03  -0.333615E+03   0.000000E+00   0.973227E+07   0.973227E+07   0.973226E+07  -0.230487E+00   0.513968E+07   0.513898E+07   0.875596E+01
   0.292372E-01   0.898757E+07   0.894301E+07  -0.181417E+03  -0.252483E+03   0.000000E+00   0.898066E+07   0.898066E+07   0.898066E+07  -0.212687E+00   0.474276E+07   0.474207E+07   0.782647E+01
   0.322844E-01   0.824041E+07   0.819390E+07  -0.139122E+03  -0.189839E+03   0.000000E+00   0.823320E+07   0.823320E+07   0.823320E+07  -0.194985E+00   0.434803E+07   0.434736E+07   0.690078E+01
   0.356492E-01   0.751497E+07   0.746792E+07  -0.870505E+02  -0.141975E+03   0.000000E+00   0.750768E+07   0.750768E+07   0.750768E+07  -0.177803E+00   0.396487E+07   0.396424E+07   0.596772E+01
   0.393646E-01   0.683101E+07   0.678522E+07  -0.826354E+02  -0.105835E+03   0.000000E+00   0.682391E+07   0.682391E+07   0.682391E+07  -0.161609E+00   0.360377E+07   0.360318E+07   0.502804E+01
   0.434673E-01   0.620745E+07   0.616500E+07  -0.789948E+02  -0.788739E+02   0.000000E+00   0.620087E+07   0.620087E+07   0.620087E+07  -0.146854E+00   0.327474E+07   0.327420E+07   0.409725E+01
   0.478141E-01   0.567583E+07   0.563848E+07   0.106362E+03  -0.596041E+02   0.000000E+00   0.567003E+07   0.567003E+07   0.567003E+07  -0.134282E+00   0.299439E+07   0.299393E+07   0.324041E+01
   0.521608E-01   0.525670E+07   0.522524E+07   0.827839E+02  -0.463890E+02   0.000000E+00   0.525182E+07   0.525182E+07   0.525182E+07  -0.124378E+00   0.277353E+07   0.277313E+07   0.252729E+01
   0.565075E-01   0.491526E+07   0.488964E+07   0.659660E+02  -0.369629E+02   0.000000E+00   0.491128E+07   0.491128E+07   0.491128E+07  -0.116313E+00   0.259368E+07   0.259335E+07   0.196085E+01
   0.608543E-01   0.462688E+07   0.460635E+07   0.535497E+02  -0.300042E+02   0.000000E+00   0.462369E+07   0.462369E+07   0.462369E+07  -0.109502E+00   0.244180E+07   0.244152E+07   0.153675E+01
   0.652010E-01   0.436827E+07   0.435159E+07   0.440457E+02  -0.246782E+02   0.000000E+00   0.436568E+07   0.436568E+07   0.436568E+07  -0.103391E+00   0.230554E+07   0.230530E+07   0.124036E+01
   0.695477E-01   0.412334E+07   0.410906E+07   0.365438E+02  -0.204746E+02   0.000000E+00   0.412112E+07   0.412112E+07   0.412112E+07  -0.975996E-01   0.217638E+07   0.217616E+07   0.105004E+01
   0.738945E-01   0.388248E+07   0.386922E+07   0.304802E+02  -0.170774E+02   0.000000E+00   0.388043E+07   0.388043E+07   0.388043E+07  -0.918992E-01   0.204927E+07   0.204906E+07   0.939856E+00
   0.782412E-01   0.364291E+07   0.362951E+07   0.255086E+02  -0.142922E+02   0.000000E+00   0.364083E+07   0.364083E+07   0.364083E+07  -0.862249E-01   0.192274E+07   0.192253E+07   0.883002E+00
   0.825879E-01   0.340716E+07   0.339290E+07   0.214104E+02  -0.119965E+02   0.000000E+00   0.340495E+07   0.340495E+07   0.340495E+07  -0.806385E-01   0.179817E+07   0.179796E+07   0.854820E+00
   0.869347E-01   0.318074E+07   0.316533E+07   0.180365E+02  -0.101065E+02   0.000000E+00   0.317835E+07   0.317835E+07   0.317835E+07  -0.752722E-01   0.167851E+07   0.167829E+07   0.835177E+00
   0.912814E-01   0.296964E+07   0.295321E+07   0.152719E+02  -0.855775E+01   0.000000E+00   0.296710E+07   0.296710E+07   0.296710E+07  -0.702690E-01   0.156695E+07   0.156672E+07   0.809859E+00
   0.966868E-01   0.273644E+07   0.271939E+07   0.125414E+02  -0.702798E+01   0.000000E+00   0.273379E+07   0.273379E+07   0.273379E+07  -0.647437E-01   0.144374E+07   0.144352E+07   0.759185E+00
   0.102092E+00   0.254222E+07   0.252554E+07   0.104495E+02  -0.585581E+01   0.000000E+00   0.253963E+07   0.253963E+07   0.253963E+07  -0.601455E-01   0.134120E+07   0.134099E+07   0.685207E+00
   0.107498E+00   0.238796E+07   0.237261E+07   0.885341E+01  -0.496130E+01   0.000000E+00   0.238558E+07   0.238558E+07   0.238558E+07  -0.564971E-01   0.125985E+07   0.125965E+07   0.594936E+00
   0.112903E+00   0.226709E+07   0.225371E+07   0.762052E+01  -0.427024E+01   0.000000E+00   0.226502E+07   0.226502E+07   0.226502E+07  -0.536419E-01   0.119617E+07   0.119600E+07   0.500215E+00
   0.118309E+00   0.216837E+07   0.215716E+07   0.663880E+01  -0.371994E+01   0.000000E+00   0.216663E+07   0.216663E+07   0.216663E+07  -0.513118E-01   0.114421E+07   0.114406E+07   0.413190E+00
   0.123714E+00   0.208038E+07   0.207111E+07   0.582577E+01  -0.326422E+01   0.000000E+00   0.207894E+07   0.207894E+07   0.207894E+07  -0.492350E-01   0.109790E+07   0.109777E+07   0.342961E+00
   0.129120E+00   0.199415E+07   0.198626E+07   0.512701E+01  -0.287262E+01   0.000000E+00   0.199293E+07   0.199293E+07   0.199293E+07  -0.471980E-01   0.105247E+07   0.105236E+07   0.293747E+00
   0.134525E+00   0.190416E+07   0.189696E+07   0.451026E+01  -0.252704E+01   0.000000E+00   0.190304E+07   0.190304E+07   0.190304E+07  -0.450693E-01   0.100501E+07   0.100490E+07   0.264710E+00
   0.139930E+00   0.180903E+07   0.180189E+07   0.396014E+01  -0.221885E+01   0.000000E+00   0.180793E+07   0.180793E+07   0.180793E+07  -0.428167E-01   0.954775E+06   0.954669E+06   0.251175E+00
   0.145336E+00   0.171117E+07   0.170365E+07   0.347214E+01  -0.194549E+01   0.000000E+00   0.171000E+07   0.171000E+07   0.171000E+07  -0.404975E-01   0.903061E+06   0.902954E+06   0.246549E+00
   0.150741E+00   0.161494E+07   0.160690E+07   0.304575E+01  -0.170664E+01   0.000000E+00   0.161370E+07   0.161370E+07   0.161370E+07  -0.382168E-01   0.852204E+06   0.852093E+06   0.244240E+00
   0.156147E+00   0.152505E+07   0.151659E+07   0.268023E+01  -0.150188E+01   0.000000E+00   0.152374E+07   0.152374E+07   0.152374E+07  -0.360864E-01   0.804698E+06   0.804586E+06   0.239182E+00
   0.161552E+00   0.144551E+07   0.143692E+07   0.237310E+01  -0.132981E+01   0.000000E+00   0.144418E+07   0.144418E+07   0.144418E+07  -0.342021E-01   0.762681E+06   0.762570E+06   0.228682E+00
   0.166958E+00   0.137860E+07   0.137026E+07   0.211904E+01  -0.118745E+01   0.000000E+00   0.137731E+07   0.137731E+07   0.137731E+07  -0.326185E-01   0.727369E+06   0.727262E+06   0.212499E+00
   0.172363E+00   0.132395E+07   0.131617E+07   0.190946E+01  -0.106999E+01   0.000000E+00   0.132274E+07   0.132274E+07   0.132274E+07  -0.313262E-01   0.698550E+06   0.698451E+06   0.192274E+00
   0.177769E+00   0.127876E+07   0.127174E+07   0.173396E+01  -0.971620E+00   0.000000E+00   0.127767E+07   0.127767E+07   0.127767E+07  -0.302587E-01   0.674746E+06   0.674655E+06   0.170647E+00
   0.183174E+00   0.123930E+07   0.123310E+07   0.158290E+01  -0.886942E+00   0.000000E+00   0.123834E+07   0.123834E+07   0.123834E+07  -0.293273E-01   0.653976E+06   0.653894E+06   0.150361E+00
   0.188579E+00   0.120213E+07   0.119662E+07   0.144877E+01  -0.811766E+00   0.000000E+00   0.120127E+07   0.120127E+07   0.120127E+07  -0.284495E-01   0.634399E+06   0.634324E+06   0.133535E+00
   0.193985E+00   0.116446E+07   0.115946E+07   0.132633E+01  -0.743148E+00   0.000000E+00   0.116369E+07   0.116369E+07   0.116369E+07  -0.275593E-01   0.614550E+06   0.614479E+06   0.121226E+00
   0.199390E+00   0.112464E+07   0.111989E+07   0.121247E+01  -0.679354E+00   0.000000E+00   0.112391E+07   0.112391E+07   0.112391E+07  -0.266172E-01   0.593540E+06   0.593472E+06   0.113353E+00
   0.204796E+00   0.108249E+07   0.107777E+07   0.110621E+01  -0.619820E+00   0.000000E+00   0.108176E+07   0.108176E+07   0.108176E+07  -0.256191E-01   0.571284E+06   0.571217E+06   0.108946E+00
   0.210201E+00   0.103922E+07   0.103440E+07   0.100802E+01  -0.564815E+00   0.000000E+00   0.103848E+07   0.103848E+07   0.103848E+07  -0.245940E-01   0.548426E+06   0.548358E+06   0.106549E+00
   0.215607E+00   0.996691E+06   0.991717E+06   0.918835E+00  -0.514854E+00   0.000000E+00   0.995920E+06   0.995920E+06   0.995920E+06  -0.235861E-01   0.525952E+06   0.525884E+06   0.104664E+00
   0.221012E+00   0.956684E+06   0.951602E+06   0.839287E+00  -0.470290E+00   0.000000E+00   0.955896E+06   0.955896E+06   0.955896E+06  -0.226382E-01   0.504815E+06   0.504748E+06   0.102106E+00
   0.226418E+00   0.920530E+06   0.915447E+06   0.769441E+00  -0.431157E+00   0.000000E+00   0.919742E+06   0.919742E+06   0.919742E+06  -0.217820E-01   0.485723E+06   0.485656E+06   0.982203E-01
   0.231823E+00   0.888865E+06   0.883908E+06   0.708722E+00  -0.397134E+00   0.000000E+00   0.888096E+06   0.888096E+06   0.888096E+06  -0.210326E-01   0.469010E+06   0.468945E+06   0.929214E-01
   0.237228E+00   0.861515E+06   0.856797E+06   0.655981E+00  -0.367577E+00   0.000000E+00   0.860784E+06   0.860784E+06   0.860784E+06  -0.203857E-01   0.454586E+06   0.454524E+06   0.865904E-01
   0.242634E+00   0.837643E+06   0.833234E+06   0.609728E+00  -0.341655E+00   0.000000E+00   0.836959E+06   0.836959E+06   0.836959E+06  -0.198215E-01   0.442004E+06   0.441946E+06   0.798767E-01
   0.248039E+00   0.816038E+06   0.811954E+06   0.568423E+00  -0.318504E+00   0.000000E+00   0.815405E+06   0.815405E+06   0.815405E+06  -0.193110E-01   0.430621E+06   0.430566E+06   0.734749E-01
   0.253445E+00   0.795410E+06   0.791614E+06   0.530696E+00  -0.297360E+00   0.000000E+00   0.794822E+06   0.794822E+06   0.794822E+06  -0.188236E-01   0.419750E+06   0.419699E+06   0.679360E-01
   0.258850E+00   0.774677E+06   0.771097E+06   0.495515E+00  -0.277646E+00   0.000000E+00   0.774122E+06   0.774122E+06   0.774122E+06  -0.183333E-01   0.408818E+06   0.408769E+06   0.635548E-01
   0.264256E+00   0.753259E+06   0.749810E+06   0.462309E+00  -0.259039E+00   0.000000E+00   0.752724E+06   0.752724E+06   0.752724E+06  -0.178266E-01   0.397518E+06   0.397470E+06   0.603466E-01
