#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.161552E+00   0.103634E+05   0.460892E+04   0.475774E+01   0.473137E+01   0.000000E+00   0.947127E+04   0.947127E+04   0.947155E+04  -0.451355E-01   0.929381E+04   0.793186E+04   0.230792E+02
   0.166958E+00   0.990302E+04   0.428919E+04   0.424510E+01   0.422160E+01   0.000000E+00   0.903266E+04   0.903266E+04   0.903291E+04  -0.430450E-01   0.886649E+04   0.754970E+04   0.215914E+02
   0.172363E+00   0.949311E+04   0.420505E+04   0.383165E+01   0.381030E+01   0.000000E+00   0.867325E+04   0.867325E+04   0.867348E+04  -0.413320E-01   0.850691E+04   0.731097E+04   0.189949E+02
   0.177769E+00   0.912604E+04   0.428687E+04   0.349261E+01   0.347293E+01   0.000000E+00   0.837578E+04   0.837578E+04   0.837598E+04  -0.399140E-01   0.820080E+04   0.716905E+04   0.158888E+02
   0.183174E+00   0.879140E+04   0.443737E+04   0.320340E+01   0.318513E+01   0.000000E+00   0.811636E+04   0.811636E+04   0.811655E+04  -0.386775E-01   0.792959E+04   0.706656E+04   0.128984E+02
   0.188579E+00   0.847961E+04   0.456175E+04   0.294399E+01   0.292703E+01   0.000000E+00   0.787219E+04   0.787219E+04   0.787237E+04  -0.375138E-01   0.767654E+04   0.695245E+04   0.105115E+02
   0.193985E+00   0.818219E+04   0.458979E+04   0.270176E+01   0.268611E+01   0.000000E+00   0.762523E+04   0.762523E+04   0.762539E+04  -0.363367E-01   0.742734E+04   0.679065E+04   0.898537E+01
   0.199390E+00   0.789248E+04   0.448862E+04   0.247125E+01   0.245693E+01   0.000000E+00   0.736475E+04   0.736475E+04   0.736489E+04  -0.350953E-01   0.717189E+04   0.656521E+04   0.832974E+01
   0.204796E+00   0.760766E+04   0.426598E+04   0.225209E+01   0.223910E+01   0.000000E+00   0.708957E+04   0.708957E+04   0.708970E+04  -0.337838E-01   0.690790E+04   0.628306E+04   0.835261E+01
   0.210201E+00   0.732914E+04   0.396208E+04   0.204693E+01   0.203521E+01   0.000000E+00   0.680712E+04   0.680712E+04   0.680724E+04  -0.324378E-01   0.664086E+04   0.596919E+04   0.874771E+01
   0.215607E+00   0.706057E+04   0.363329E+04   0.185967E+01   0.184912E+01   0.000000E+00   0.652921E+04   0.652921E+04   0.652932E+04  -0.311134E-01   0.637960E+04   0.565556E+04   0.919333E+01
   0.221012E+00   0.680572E+04   0.333459E+04   0.169358E+01   0.168404E+01   0.000000E+00   0.626756E+04   0.626756E+04   0.626766E+04  -0.298665E-01   0.613246E+04   0.537086E+04   0.943370E+01
   0.226418E+00   0.656759E+04   0.310614E+04   0.154981E+01   0.154112E+01   0.000000E+00   0.603094E+04   0.603094E+04   0.603103E+04  -0.287389E-01   0.590590E+04   0.513454E+04   0.932648E+01
   0.231823E+00   0.634778E+04   0.296574E+04   0.142709E+01   0.141910E+01   0.000000E+00   0.582343E+04   0.582343E+04   0.582351E+04  -0.277500E-01   0.570346E+04   0.495377E+04   0.885314E+01
   0.237228E+00   0.614600E+04   0.290781E+04   0.132239E+01   0.131495E+01   0.000000E+00   0.564395E+04   0.564395E+04   0.564403E+04  -0.268947E-01   0.552478E+04   0.482306E+04   0.809786E+01
   0.242634E+00   0.596028E+04   0.290850E+04   0.123176E+01   0.122479E+01   0.000000E+00   0.548714E+04   0.548714E+04   0.548721E+04  -0.261474E-01   0.536600E+04   0.472740E+04   0.720532E+01
   0.248039E+00   0.578751E+04   0.293447E+04   0.115111E+01   0.114456E+01   0.000000E+00   0.534518E+04   0.534518E+04   0.534525E+04  -0.254708E-01   0.522127E+04   0.464756E+04   0.633204E+01
   0.253445E+00   0.562389E+04   0.295243E+04   0.107693E+01   0.107077E+01   0.000000E+00   0.520971E+04   0.520971E+04   0.520977E+04  -0.248252E-01   0.508403E+04   0.456512E+04   0.560500E+01
   0.258850E+00   0.546578E+04   0.293724E+04   0.100685E+01   0.100107E+01   0.000000E+00   0.507376E+04   0.507376E+04   0.507382E+04  -0.241773E-01   0.494839E+04   0.446653E+04   0.509611E+01
   0.264256E+00   0.531093E+04   0.287721E+04   0.939744E+00   0.934345E+00   0.000000E+00   0.493361E+04   0.493361E+04   0.493366E+04  -0.235095E-01   0.481090E+04   0.434612E+04   0.481504E+01
   0.269661E+00   0.515889E+04   0.277503E+04   0.875523E+00   0.870504E+00   0.000000E+00   0.478930E+04   0.478930E+04   0.478935E+04  -0.228218E-01   0.467144E+04   0.420665E+04   0.471860E+01
