#    L    TT             EE             BB             TE          
   199    0.54233E+04    0.67432E+00    0.13684E-01   -0.16097E+02
   200    0.54360E+04    0.67309E+00    0.13838E-01   -0.14889E+02
   201    0.54481E+04    0.67268E+00    0.13992E-01   -0.13658E+02
   202    0.54596E+04    0.67311E+00    0.14148E-01   -0.12407E+02
   203    0.54706E+04    0.67442E+00    0.14304E-01   -0.11135E+02
   204    0.54809E+04    0.67665E+00    0.14461E-01   -0.98439E+01
   205    0.54907E+04    0.67983E+00    0.14618E-01   -0.85328E+01
   206    0.54998E+04    0.68400E+00    0.14777E-01   -0.72024E+01
   207    0.55085E+04    0.68918E+00    0.14936E-01   -0.58533E+01
   208    0.55163E+04    0.69543E+00    0.15096E-01   -0.44858E+01
   209    0.55236E+04    0.70277E+00    0.15256E-01   -0.31005E+01
   210    0.55303E+04    0.71125E+00    0.15417E-01   -0.16981E+01
   211    0.55365E+04    0.72090E+00    0.15579E-01   -0.27876E+00
   212    0.55419E+04    0.73174E+00    0.15741E-01    0.11566E+01
   213    0.55467E+04    0.74382E+00    0.15904E-01    0.26081E+01
   214    0.55509E+04    0.75714E+00    0.16068E-01    0.40745E+01
   215    0.55546E+04    0.77188E+00    0.16233E-01    0.55551E+01
   216    0.55575E+04    0.78786E+00    0.16397E-01    0.70503E+01
   217    0.55600E+04    0.80524E+00    0.16563E-01    0.85582E+01
   218    0.55618E+04    0.82402E+00    0.16729E-01    0.10079E+02
   219    0.55630E+04    0.84418E+00    0.16895E-01    0.11614E+02
   220    0.55636E+04    0.86589E+00    0.17063E-01    0.13158E+02
   221    0.55636E+04    0.88907E+00    0.17230E-01    0.14714E+02
   222    0.55631E+04    0.91386E+00    0.17398E-01    0.16280E+02
   223    0.55618E+04    0.94019E+00    0.17567E-01    0.17857E+02
   224    0.55600E+04    0.96807E+00    0.17736E-01    0.19441E+02
   225    0.55576E+04    0.99763E+00    0.17905E-01    0.21036E+02
   226    0.55546E+04    0.10289E+01    0.18075E-01    0.22637E+02
   227    0.55510E+04    0.10618E+01    0.18246E-01    0.24245E+02
   228    0.55468E+04    0.10964E+01    0.18416E-01    0.25861E+02
   229    0.55421E+04    0.11328E+01    0.18587E-01    0.27482E+02
   230    0.55367E+04    0.11709E+01    0.18759E-01    0.29108E+02
   231    0.55306E+04    0.12109E+01    0.18930E-01    0.30739E+02
   232    0.55240E+04    0.12526E+01    0.19102E-01    0.32374E+02
   233    0.55169E+04    0.12964E+01    0.19275E-01    0.34012E+02
   234    0.55089E+04    0.13419E+01    0.19447E-01    0.35652E+02
   235    0.55005E+04    0.13893E+01    0.19620E-01    0.37293E+02
   236    0.54914E+04    0.14387E+01    0.19793E-01    0.38936E+02
   237    0.54818E+04    0.14900E+01    0.19966E-01    0.40579E+02
   238    0.54715E+04    0.15434E+01    0.20140E-01    0.42221E+02
   239    0.54607E+04    0.15987E+01    0.20313E-01    0.43863E+02
   240    0.54492E+04    0.16559E+01    0.20487E-01    0.45502E+02
   241    0.54373E+04    0.17153E+01    0.20661E-01    0.47139E+02
   242    0.54248E+04    0.17766E+01    0.20834E-01    0.48772E+02
   243    0.54116E+04    0.18401E+01    0.21008E-01    0.50401E+02
   244    0.53979E+04    0.19056E+01    0.21182E-01    0.52027E+02
   245    0.53836E+04    0.19733E+01    0.21356E-01    0.53646E+02
   246    0.53688E+04    0.20430E+01    0.21530E-01    0.55259E+02
   247    0.53535E+04    0.21148E+01    0.21704E-01    0.56865E+02
   248    0.53376E+04    0.21890E+01    0.21878E-01    0.58464E+02
   249    0.53212E+04    0.22651E+01    0.22052E-01    0.60055E+02
   250    0.53043E+04    0.23436E+01    0.22225E-01    0.61636E+02
   251    0.52869E+04    0.24241E+01    0.22399E-01    0.63209E+02
   252    0.52689E+04    0.25068E+01    0.22572E-01    0.64771E+02
   253    0.52506E+04    0.25916E+01    0.22746E-01    0.66321E+02
   254    0.52316E+04    0.26787E+01    0.22919E-01    0.67859E+02
   255    0.52122E+04    0.27679E+01    0.23091E-01    0.69386E+02
   256    0.51923E+04    0.28595E+01    0.23264E-01    0.70901E+02
   257    0.51720E+04    0.29531E+01    0.23436E-01    0.72396E+02
   258    0.51512E+04    0.30489E+01    0.23608E-01    0.73884E+02
   259    0.51299E+04    0.31470E+01    0.23780E-01    0.75349E+02
   260    0.51083E+04    0.32473E+01    0.23952E-01    0.76808E+02
   261    0.50862E+04    0.33497E+01    0.24123E-01    0.78236E+02
   262    0.50635E+04    0.34544E+01    0.24294E-01    0.79658E+02
   263    0.50407E+04    0.35613E+01    0.24464E-01    0.81065E+02
   264    0.50173E+04    0.36703E+01    0.24634E-01    0.82450E+02
