#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.201096E-02   0.112708E+06   0.112458E+06   0.141684E+06   0.139612E+06   0.000000E+00   0.112669E+06   0.112669E+06   0.120980E+06  -0.600359E+00   0.112348E+06   0.112251E+06   0.131949E+03
   0.222054E-02   0.112571E+06   0.112267E+06   0.139683E+06   0.137196E+06   0.000000E+00   0.112524E+06   0.112524E+06   0.120707E+06  -0.598964E+00   0.112206E+06   0.112087E+06   0.145494E+03
   0.245198E-02   0.112404E+06   0.112034E+06   0.137275E+06   0.134300E+06   0.000000E+00   0.112347E+06   0.112347E+06   0.120376E+06  -0.597277E+00   0.112032E+06   0.111889E+06   0.160381E+03
   0.270753E-02   0.112203E+06   0.111752E+06   0.134387E+06   0.130844E+06   0.000000E+00   0.112133E+06   0.112133E+06   0.119978E+06  -0.595239E+00   0.111822E+06   0.111647E+06   0.176726E+03
   0.298972E-02   0.111959E+06   0.111410E+06   0.130935E+06   0.126738E+06   0.000000E+00   0.111874E+06   0.111874E+06   0.119500E+06  -0.592784E+00   0.111567E+06   0.111355E+06   0.194648E+03
   0.330131E-02   0.111663E+06   0.110995E+06   0.126827E+06   0.121888E+06   0.000000E+00   0.111560E+06   0.111560E+06   0.118925E+06  -0.589833E+00   0.111258E+06   0.111000E+06   0.214270E+03
   0.364539E-02   0.111306E+06   0.110493E+06   0.121965E+06   0.116199E+06   0.000000E+00   0.111180E+06   0.111180E+06   0.118239E+06  -0.586298E+00   0.110884E+06   0.110570E+06   0.235715E+03
   0.402532E-02   0.110876E+06   0.109887E+06   0.116251E+06   0.109587E+06   0.000000E+00   0.110723E+06   0.110723E+06   0.117423E+06  -0.582077E+00   0.110432E+06   0.110050E+06   0.259098E+03
   0.444485E-02   0.110359E+06   0.109157E+06   0.109589E+06   0.101983E+06   0.000000E+00   0.110173E+06   0.110173E+06   0.116457E+06  -0.577062E+00   0.109886E+06   0.109424E+06   0.284529E+03
   0.490810E-02   0.109739E+06   0.108278E+06   0.101903E+06   0.933582E+05   0.000000E+00   0.109512E+06   0.109512E+06   0.115321E+06  -0.571135E+00   0.109230E+06   0.108670E+06   0.312094E+03
   0.541964E-02   0.108998E+06   0.107225E+06   0.931469E+05   0.837375E+05   0.000000E+00   0.108723E+06   0.108723E+06   0.113994E+06  -0.564175E+00   0.108442E+06   0.107765E+06   0.341859E+03
   0.598449E-02   0.108116E+06   0.105966E+06   0.833314E+05   0.732308E+05   0.000000E+00   0.107783E+06   0.107783E+06   0.112458E+06  -0.556067E+00   0.107500E+06   0.106682E+06   0.373846E+03
   0.660821E-02   0.107072E+06   0.104468E+06   0.725469E+05   0.620584E+05   0.000000E+00   0.106669E+06   0.106669E+06   0.110698E+06  -0.546707E+00   0.106378E+06   0.105393E+06   0.408028E+03
   0.729694E-02   0.105843E+06   0.102694E+06   0.609959E+05   0.505749E+05   0.000000E+00   0.105355E+06   0.105355E+06   0.108705E+06  -0.536019E+00   0.105049E+06   0.103864E+06   0.444310E+03
   0.805745E-02   0.104407E+06   0.100605E+06   0.490220E+05   0.392783E+05   0.000000E+00   0.103817E+06   0.103817E+06   0.106476E+06  -0.523967E+00   0.103485E+06   0.102064E+06   0.482510E+03
   0.889722E-02   0.102740E+06   0.981594E+05   0.371274E+05   0.287877E+05   0.000000E+00   0.102030E+06   0.102030E+06   0.104021E+06  -0.510570E+00   0.101657E+06   0.999584E+05   0.522342E+03
   0.982452E-02   0.100824E+06   0.953193E+05   0.259651E+05   0.197734E+05   0.000000E+00   0.999709E+05   0.999709E+05   0.101355E+06  -0.495911E+00   0.995398E+05   0.975168E+05   0.563400E+03
   0.108485E-01   0.986438E+05   0.920480E+05   0.162826E+05   0.128253E+05   0.000000E+00   0.976212E+05   0.976212E+05   0.984991E+05  -0.480137E+00   0.971131E+05   0.947138E+05   0.605136E+03
   0.119791E-01   0.961886E+05   0.883151E+05   0.880070E+04   0.826735E+04   0.000000E+00   0.949679E+05   0.949679E+05   0.954744E+05  -0.463439E+00   0.943648E+05   0.915329E+05   0.646849E+03
   0.132276E-01   0.934558E+05   0.840982E+05   0.401949E+04   0.596904E+04   0.000000E+00   0.920050E+05   0.920050E+05   0.922889E+05  -0.446013E+00   0.912943E+05   0.879699E+05   0.687664E+03
   0.146062E-01   0.904489E+05   0.793865E+05   0.198538E+04   0.526173E+04   0.000000E+00   0.887338E+05   0.887338E+05   0.889295E+05  -0.427997E+00   0.879136E+05   0.840354E+05   0.726506E+03
   0.161285E-01   0.871771E+05   0.741823E+05   0.211432E+04   0.509817E+04   0.000000E+00   0.851624E+05   0.851624E+05   0.853588E+05  -0.409416E+00   0.842471E+05   0.797551E+05   0.762059E+03
   0.178095E-01   0.836530E+05   0.685049E+05   0.322863E+04   0.451915E+04   0.000000E+00   0.813045E+05   0.813045E+05   0.815260E+05  -0.390152E+00   0.803270E+05   0.751674E+05   0.792695E+03
   0.196657E-01   0.798904E+05   0.623949E+05   0.395536E+04   0.324167E+04   0.000000E+00   0.771780E+05   0.771780E+05   0.773943E+05  -0.369998E+00   0.761870E+05   0.703194E+05   0.816390E+03
   0.217153E-01   0.759045E+05   0.559228E+05   0.344403E+04   0.186136E+04   0.000000E+00   0.728066E+05   0.728066E+05   0.729719E+05  -0.348782E+00   0.718565E+05   0.652641E+05   0.830657E+03
   0.239785E-01   0.717142E+05   0.492012E+05   0.197341E+04   0.120706E+04   0.000000E+00   0.682238E+05   0.682238E+05   0.683219E+05  -0.326524E+00   0.673605E+05   0.600642E+05   0.832577E+03
   0.264776E-01   0.673475E+05   0.423992E+05   0.734759E+03   0.114600E+04   0.000000E+00   0.634795E+05   0.634795E+05   0.635328E+05  -0.303503E+00   0.627228E+05   0.547974E+05   0.819006E+03
   0.292372E-01   0.628461E+05   0.357532E+05   0.572273E+03   0.868299E+03   0.000000E+00   0.586457E+05   0.586457E+05   0.586866E+05  -0.280133E+00   0.580090E+05   0.495995E+05   0.787011E+03
   0.322844E-01   0.582691E+05   0.295683E+05   0.911342E+03   0.652376E+03   0.000000E+00   0.538194E+05   0.538194E+05   0.538669E+05  -0.256936E+00   0.532911E+05   0.446252E+05   0.734452E+03
   0.356492E-01   0.536920E+05   0.241991E+05   0.679972E+03   0.488178E+03   0.000000E+00   0.491195E+05   0.491195E+05   0.491550E+05  -0.234414E+00   0.486742E+05   0.400669E+05   0.660639E+03
   0.393646E-01   0.492037E+05   0.200066E+05   0.197269E+03   0.364963E+03   0.000000E+00   0.446770E+05   0.446770E+05   0.446927E+05  -0.213112E+00   0.442759E+05   0.361171E+05   0.567106E+03
   0.434673E-01   0.448995E+05   0.172797E+05   0.293103E+03   0.273083E+03   0.000000E+00   0.406173E+05   0.406173E+05   0.406341E+05  -0.193662E+00   0.402068E+05   0.329225E+05   0.458531E+03
   0.478141E-01   0.410096E+05   0.161320E+05   0.209163E+03   0.208003E+03   0.000000E+00   0.371526E+05   0.371526E+05   0.371649E+05  -0.177093E+00   0.366734E+05   0.305948E+05   0.347852E+03
   0.521608E-01   0.377457E+05   0.162316E+05   0.164213E+03   0.163287E+03   0.000000E+00   0.344102E+05   0.344102E+05   0.344198E+05  -0.163980E+00   0.338504E+05   0.290795E+05   0.250267E+03
   0.565075E-01   0.349722E+05   0.169378E+05   0.132129E+03   0.131370E+03   0.000000E+00   0.321761E+05   0.321761E+05   0.321839E+05  -0.153305E+00   0.315261E+05   0.279821E+05   0.171606E+03
   0.608543E-01   0.325975E+05   0.177181E+05   0.108236E+03   0.107604E+03   0.000000E+00   0.302907E+05   0.302907E+05   0.302970E+05  -0.144300E+00   0.295653E+05   0.270230E+05   0.114310E+03
   0.652010E-01   0.305175E+05   0.181513E+05   0.896272E+02   0.890981E+02   0.000000E+00   0.286002E+05   0.286002E+05   0.286055E+05  -0.136231E+00   0.278356E+05   0.259814E+05   0.778104E+02
