#           k/h    P           
    0.28001E+01    0.36891E+01
    0.28567E+01    0.35107E+01
    0.29144E+01    0.33406E+01
    0.29733E+01    0.31787E+01
    0.30333E+01    0.30244E+01
    0.30946E+01    0.28775E+01
    0.31571E+01    0.27376E+01
    0.32209E+01    0.26043E+01
    0.32860E+01    0.24774E+01
    0.33523E+01    0.23566E+01
    0.34201E+01    0.22415E+01
    0.34892E+01    0.21320E+01
    0.35596E+01    0.20277E+01
    0.36316E+01    0.19284E+01
    0.37049E+01    0.18339E+01
    0.37798E+01    0.17439E+01
    0.38561E+01    0.16583E+01
    0.39340E+01    0.15767E+01
    0.40135E+01    0.14992E+01
    0.40946E+01    0.14253E+01
    0.41773E+01    0.13551E+01
    0.42617E+01    0.12882E+01
    0.43478E+01    0.12246E+01
    0.44356E+01    0.11641E+01
    0.45252E+01    0.11065E+01
    0.46166E+01    0.10517E+01
    0.47099E+01    0.99962E+00
    0.48050E+01    0.95005E+00
    0.49021E+01    0.90289E+00
    0.50011E+01    0.85804E+00
    0.51021E+01    0.81538E+00
    0.52052E+01    0.77481E+00
    0.53104E+01    0.73622E+00
    0.54176E+01    0.69953E+00
    0.55271E+01    0.66464E+00
    0.56387E+01    0.63146E+00
    0.57526E+01    0.59991E+00
    0.58689E+01    0.56991E+00
    0.59874E+01    0.54140E+00
    0.61084E+01    0.51429E+00
    0.62318E+01    0.48851E+00
    0.63577E+01    0.46401E+00
    0.64861E+01    0.44072E+00
    0.66171E+01    0.41859E+00
    0.67508E+01    0.39755E+00
    0.68872E+01    0.37755E+00
    0.70263E+01    0.35855E+00
    0.71682E+01    0.34048E+00
    0.73130E+01    0.32332E+00
    0.74608E+01    0.30701E+00
    0.76115E+01    0.29151E+00
    0.77653E+01    0.27678E+00
    0.79221E+01    0.26279E+00
    0.80822E+01    0.24950E+00
    0.82454E+01    0.23687E+00
    0.84120E+01    0.22487E+00
    0.85819E+01    0.21347E+00
    0.87553E+01    0.20264E+00
    0.89322E+01    0.19236E+00
    0.91126E+01    0.18259E+00
    0.92967E+01    0.17331E+00
    0.94845E+01    0.16449E+00
    0.96761E+01    0.15612E+00
    0.98716E+01    0.14817E+00
    0.10071E+02    0.14062E+00
    0.10274E+02    0.13345E+00
    0.10482E+02    0.12664E+00
    0.10694E+02    0.12018E+00
    0.10910E+02    0.11404E+00
    0.11130E+02    0.10821E+00
    0.11355E+02    0.10268E+00
    0.11584E+02    0.97422E-01
    0.11818E+02    0.92433E-01
    0.12057E+02    0.87698E-01
    0.12301E+02    0.83202E-01
    0.12549E+02    0.78934E-01
    0.12803E+02    0.74882E-01
    0.13061E+02    0.71037E-01
    0.13325E+02    0.67386E-01
    0.13594E+02    0.63922E-01
    0.13869E+02    0.60633E-01
    0.14149E+02    0.57512E-01
    0.14435E+02    0.54550E-01
    0.14727E+02    0.51739E-01
    0.15024E+02    0.49071E-01
    0.15328E+02    0.46540E-01
    0.15637E+02    0.44137E-01
    0.15953E+02    0.41858E-01
    0.16275E+02    0.39695E-01
    0.16604E+02    0.37642E-01
    0.16940E+02    0.35695E-01
    0.17282E+02    0.33848E-01
    0.17631E+02    0.32095E-01
    0.17987E+02    0.30432E-01
    0.18351E+02    0.28855E-01
    0.18721E+02    0.27358E-01
    0.19099E+02    0.25939E-01
    0.19485E+02    0.24592E-01
    0.19879E+02    0.23315E-01
    0.20280E+02    0.22104E-01
    0.20690E+02    0.20954E-01
    0.21108E+02    0.19864E-01
    0.21535E+02    0.18830E-01
    0.21970E+02    0.17849E-01
    0.22413E+02    0.16919E-01
    0.22866E+02    0.16037E-01
    0.23328E+02    0.15200E-01
    0.23799E+02    0.14406E-01
    0.24280E+02    0.13654E-01
    0.24771E+02    0.12940E-01
    0.25271E+02    0.12263E-01
    0.25782E+02    0.11622E-01
    0.26302E+02    0.11014E-01
    0.26834E+02    0.10438E-01
    0.27376E+02    0.98912E-02
    0.27929E+02    0.93734E-02
    0.28493E+02    0.88826E-02
